"Phono.orig","Phono","n_phon","P01","P02","P03","Pfreq01","Pfreq02","Pfreq03","Pfreq_sum","Pfreq_mean","B0102","B0203","Bfreq0102","Bfreq0203","Bfreq_sum","Bfreq_mean","CondTP01","CondTP02","CondTP03","N_sum","N_prop","N_loc_mean","N_loc_sd","N_loc_mean_norm","N_loc_sd_norm","neighbors"
"ark","ark",3,"a","r","k",0.0266666666666667,0.0933333333333333,0.133333333333333,0.253333333333333,0.0844444444444444,"ar","rk",0.0266666666666667,0.0133333333333333,0.04,0.02,0.0266666666666667,1,0.5,2,0.0266666666666667,3,NA,1,NA,"ark art"
"art","art",3,"a","r","t",0.0266666666666667,0.0933333333333333,0.24,0.36,0.12,"ar","rt",0.0266666666666667,0.0133333333333333,0.04,0.02,0.0266666666666667,1,0.5,2,0.0266666666666667,3,NA,1,NA,"ark art"
"bab","bab",3,"b","a","b",0.106666666666667,0.28,0.0533333333333333,0.44,0.146666666666667,"ba","ab",0.0266666666666667,0.0266666666666667,0.0533333333333333,0.0266666666666667,0.106666666666667,0.25,0.5,3,0.04,2,1.4142135623731,0.666666666666667,0.471404520791032,"bab bar rab"
"bar","bar",3,"b","a","r",0.106666666666667,0.28,0.0533333333333333,0.44,0.146666666666667,"ba","ar",0.0266666666666667,0.0533333333333333,0.08,0.04,0.106666666666667,0.25,0.5,5,0.0666666666666667,1.5,1,0.5,0.333333333333333,"bab bar kar par tar"
"bit","bit",3,"b","i","t",0.106666666666667,0.253333333333333,0.24,0.6,0.2,"bi","it",0.0133333333333333,0.04,0.0533333333333333,0.0266666666666667,0.106666666666667,0.125,1,5,0.0666666666666667,1.5,0.577350269189626,0.5,0.192450089729875,"bit but b_t Sit sit"
"blu","blu",3,"b","l","u",0.106666666666667,0.04,0.0933333333333333,0.24,0.08,"bl","lu",0.0133333333333333,0.04,0.0533333333333333,0.0266666666666667,0.106666666666667,0.125,1,3,0.04,1,0,0.333333333333333,0,"blu glu klu"
"but","but",3,"b","u","t",0.106666666666667,0.146666666666667,0.24,0.493333333333333,0.164444444444444,"bu","ut",0.0133333333333333,0.0533333333333333,0.0666666666666667,0.0333333333333333,0.106666666666667,0.125,1,6,0.08,1.4,0.547722557505166,0.466666666666667,0.182574185835055,"bit but b_t Sut rut sut"
"b^k","b_k",3,"b","_","k",0.106666666666667,0.173333333333333,0.133333333333333,0.413333333333333,0.137777777777778,"b_","_k",0.04,0.0533333333333333,0.0933333333333333,0.0466666666666667,0.106666666666667,0.375,0.333333333333333,6,0.08,1.8,1.09544511501033,0.6,0.365148371670111,"b_k b_s b_t d_k l_k s_k"
"b^s","b_s",3,"b","_","s",0.106666666666667,0.173333333333333,0.0533333333333333,0.333333333333333,0.111111111111111,"b_","_s",0.04,0.0133333333333333,0.0533333333333333,0.0266666666666667,0.106666666666667,0.375,0.333333333333333,3,0.04,3,0,1,0,"b_k b_s b_t"
"b^t","b_t",3,"b","_","t",0.106666666666667,0.173333333333333,0.24,0.52,0.173333333333333,"b_","_t",0.04,0.0533333333333333,0.0933333333333333,0.0466666666666667,0.106666666666667,0.375,0.333333333333333,8,0.106666666666667,1.85714285714286,0.899735410842437,0.619047619047619,0.299911803614146,"bit but b_k b_s b_t S_t k_t p_t"
"dal","dal",3,"d","a","l",0.106666666666667,0.28,0.12,0.506666666666667,0.168888888888889,"da","al",0.0266666666666667,0.0133333333333333,0.04,0.02,0.106666666666667,0.25,0.5,4,0.0533333333333333,2.33333333333333,0.577350269189626,0.777777777777778,0.192450089729875,"dal dat dil d_l"
"dat","dat",3,"d","a","t",0.106666666666667,0.28,0.24,0.626666666666667,0.208888888888889,"da","at",0.0266666666666667,0.0666666666666667,0.0933333333333333,0.0466666666666667,0.106666666666667,0.25,0.5,6,0.08,1.4,0.894427190999916,0.466666666666667,0.298142396999972,"dal dat gat Sat lat pat"
"did","did",3,"d","i","d",0.106666666666667,0.253333333333333,0.08,0.44,0.146666666666667,"di","id",0.04,0.0533333333333333,0.0933333333333333,0.0466666666666667,0.106666666666667,0.375,0.333333333333333,6,0.08,1.8,1.09544511501033,0.6,0.365148371670111,"did dil dip lid rid sid"
